ndexNr,pokemon,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/kakuna,https://pokemonkg.org/instance/pokemon/weedle,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/magikarp,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/venonat,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/parasect,https://pokemonkg.org/instance/pokemon/lotad,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/bulbasaur
12,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/venonat,https://pokemonkg.org/instance/pokemon/beautifly,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/vivillon,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/dustox,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/gyarados
13,https://pokemonkg.org/instance/pokemon/weedle,https://pokemonkg.org/instance/pokemon/kakuna,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/wurmple,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/bibarel,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/bidoof,https://pokemonkg.org/instance/pokemon/zubat,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/venonat,https://pokemonkg.org/instance/pokemon/vulpix
14,https://pokemonkg.org/instance/pokemon/kakuna,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/weedle,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/wartortle,https://pokemonkg.org/instance/pokemon/venonat,https://pokemonkg.org/instance/pokemon/ekans
15,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/kakuna,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/weedle,https://pokemonkg.org/instance/pokemon/muk,https://pokemonkg.org/instance/pokemon/haunter,https://pokemonkg.org/instance/pokemon/sandslash,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/pidgeot,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/ninetales,https://pokemonkg.org/instance/pokemon/pinsir,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/nidoqueen,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/mewtwo
16,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/pidgeot,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/weedle,https://pokemonkg.org/instance/pokemon/bellsprout,https://pokemonkg.org/instance/pokemon/mankey,https://pokemonkg.org/instance/pokemon/geodude,https://pokemonkg.org/instance/pokemon/nidoran-m,https://pokemonkg.org/instance/pokemon/magikarp,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/nidoran-f,https://pokemonkg.org/instance/pokemon/zubat
17,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/pidgeot,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/fearow,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/growlithe,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/nidorino,https://pokemonkg.org/instance/pokemon/vulpix
18,https://pokemonkg.org/instance/pokemon/pidgeot,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/dragonite,https://pokemonkg.org/instance/pokemon/vileplume,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/fearow,https://pokemonkg.org/instance/pokemon/marowak,https://pokemonkg.org/instance/pokemon/rhydon,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/nidoking,https://pokemonkg.org/instance/pokemon/staraptor,https://pokemonkg.org/instance/pokemon/alakazam,https://pokemonkg.org/instance/pokemon/nidoqueen,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/aerodactyl
19,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/raticate,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/zubat,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/nidoran-m,https://pokemonkg.org/instance/pokemon/bidoof,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/koffing,https://pokemonkg.org/instance/pokemon/grimer,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/geodude,https://pokemonkg.org/instance/pokemon/sandshrew,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/charmander
20,https://pokemonkg.org/instance/pokemon/raticate,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/sandshrew,https://pokemonkg.org/instance/pokemon/golbat,https://pokemonkg.org/instance/pokemon/koffing,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/muk,https://pokemonkg.org/instance/pokemon/pinsir,https://pokemonkg.org/instance/pokemon/tauros,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/grimer,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/rhyhorn,https://pokemonkg.org/instance/pokemon/electabuzz,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/mankey,https://pokemonkg.org/instance/pokemon/haunter,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/krabby,https://pokemonkg.org/instance/pokemon/sandslash
21,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/fearow,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/zubat,https://pokemonkg.org/instance/pokemon/raticate,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/mankey,https://pokemonkg.org/instance/pokemon/nidoran-m,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/sandshrew,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/farfetchd,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/pidgeot,https://pokemonkg.org/instance/pokemon/geodude,https://pokemonkg.org/instance/pokemon/nidoran-f,https://pokemonkg.org/instance/pokemon/paras
22,https://pokemonkg.org/instance/pokemon/fearow,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/dodrio,https://pokemonkg.org/instance/pokemon/pidgeot,https://pokemonkg.org/instance/pokemon/articuno,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/farfetchd,https://pokemonkg.org/instance/pokemon/arbok,https://pokemonkg.org/instance/pokemon/swellow,https://pokemonkg.org/instance/pokemon/tangela,https://pokemonkg.org/instance/pokemon/tentacruel,https://pokemonkg.org/instance/pokemon/rhydon,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/golbat,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/raticate
23,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/arbok,https://pokemonkg.org/instance/pokemon/koffing,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/zubat,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/grimer,https://pokemonkg.org/instance/pokemon/sandshrew,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/nidoran-m,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/bellsprout,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/scyther,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/mankey,https://pokemonkg.org/instance/pokemon/pidgey
24,https://pokemonkg.org/instance/pokemon/arbok,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/weezing,https://pokemonkg.org/instance/pokemon/koffing,https://pokemonkg.org/instance/pokemon/haunter,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/muk,https://pokemonkg.org/instance/pokemon/golbat,https://pokemonkg.org/instance/pokemon/sneasel,https://pokemonkg.org/instance/pokemon/solrock,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/arcanine,https://pokemonkg.org/instance/pokemon/nidoking,https://pokemonkg.org/instance/pokemon/dragonite,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/alakazam,https://pokemonkg.org/instance/pokemon/gengar
25,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/pichu,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/mew,https://pokemonkg.org/instance/pokemon/lucario,https://pokemonkg.org/instance/pokemon/piplup,https://pokemonkg.org/instance/pokemon/ditto,https://pokemonkg.org/instance/pokemon/greninja,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/venusaur
26,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/pichu,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/marowak,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/lucario,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/mew,https://pokemonkg.org/instance/pokemon/ninetales
27,https://pokemonkg.org/instance/pokemon/sandshrew,https://pokemonkg.org/instance/pokemon/sandslash,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/geodude,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/raticate,https://pokemonkg.org/instance/pokemon/cubone,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/nidoran-m,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/clefairy,https://pokemonkg.org/instance/pokemon/trapinch,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/ninetales,https://pokemonkg.org/instance/pokemon/slowpoke,https://pokemonkg.org/instance/pokemon/venonat,https://pokemonkg.org/instance/pokemon/grimer,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/drowzee
